gene	max	min
PSMG4	4.18230769132312	3.02088665193878e-08
PILRA	4.17720918809904	4.45868771739022e-05
QKI	4.17544075595278	1.24610191276631e-05
PPT2-EGFL8	4.15905245833271	1.09628297551012e-07
BMI1	4.13815105265072	3.4224454381615e-09
TATDN1	4.13654742389342	9.82866272174476e-05
ATAT1	4.13651734601334	3.19115896818545e-07
MTPN	4.13546468744335	5.57132917577974e-09
MACF1	4.1342206860517	3.55175798105734e-07
HIST1H3E	4.12728827439268	1.41978154566402e-07
ADAP1	4.12038500901174	0.000112635888696033
RPS18	4.11994975025942	9.11419384408418e-09
PFDN6	4.10885732477398	3.11007219977455e-10
HLA-DPB1	4.10267063720006	2.6200646097152e-09
IER3	4.09529104031399	4.51873205520315e-10
CCZ1B	4.095070082225	1.31969102312723e-10
ABHD14A-ACY1	4.09502021297803	9.46296880854902e-08
C11orf71	4.09096336569954	1.59365942664635e-09
LCN10	4.08673804937274	5.66519889666495e-07
NOTCH4	4.07786345922841	1.53708792360874e-08
ILK	4.07128474542109	1.39031097745601e-09
MSH5	4.06714791629716	9.56951823205543e-06
SEC16B	4.06366485166373	3.98753799513152e-06
RAP2B	4.06284788669542	4.13794212228424e-08
ASB6	4.05995321783024	6.55130215854172e-07
PAPD7	4.05020216355806	3.5543617826761e-08
POM121	4.04406378062135	4.59297911361567e-05
TMEM134	4.04364258244348	1.35095730158241e-08
CHMP3	4.04351766368944	1.04700017544701e-08
USP34	4.0414437790543	6.71496738213762e-08
COG5	4.03931495523053	1.23930570961051e-06
PPP1R11	4.03896681697813	1.42273748338084e-10
TMED7-TICAM2	4.02607205146637	1.11848295958339e-07
KCNMA1	4.02347809192853	3.65627574838712e-06
C11orf52	4.0090528002845	8.19569834220601e-08
TMOD1	4.00864968653851	6.83923278010923e-07
AKAP2	4.00783363430422	2.89218906601718e-08
C8orf44-SGK3	4.00742431019783	1.78677721685006e-06
AGAP9	4.00665112734455	1.21620841557757e-05
EIF4E	3.99846640078553	3.00285529775124e-09
PCDHA12	3.99683522124733	4.62236985576681e-07
TAP2	3.99609865170147	1.81925257081161e-08
CCDC51	3.98845243270401	1.20489025867698e-07
SFT2D3	3.98632716845026	4.19876394541774e-07
KALRN	3.96923167956145	1.50718560076868e-06
TBCA	3.96797846868795	1.50676715549025e-09
FOXQ1	3.96397617429456	1.51980259488482e-08
LRPAP1	3.96368877294827	2.10251283050411e-09
GTF2H2C	3.95498366359744	3.83013794014175e-08
HSPG2	3.94956030858875	6.82125454165572e-06
CD72	3.94947637371903	1.19224830266162e-05
SP110	3.94673140302489	1.18885817634862e-07
NUDT17	3.94605502400909	2.00902481317655e-08
C7orf25	3.94604926723563	6.61347765440468e-08
PTH2R	3.94402929564921	1.9818986221054e-06
PSMB8	3.9407697874401	5.00656538449107e-09
SPCS2	3.93997281641244	2.937552423532e-09
RAD9A	3.9362614736119	3.27804006428067e-06
ZCCHC11	3.92425338702182	1.96787765682771e-06
CDK11A	3.91990614293951	8.04595403636199e-08
EEF1D	3.91884720885787	1.92503613050121e-09
ANKHD1	3.9138892371609	4.32418367779519e-09
ABCB6	3.88261742179252	1.65060942691753e-09
KRTCAP2	3.88223331285398	2.01143990352648e-10
POU5F1	3.87928661768022	7.71689579792678e-07
DDAH2	3.87408744226235	6.04452488062179e-10
CAMK1	3.86376848355303	2.25580935264702e-07
FAM168A	3.8631702448941	1.02217045139241e-06
EEF1G	3.86157842769735	4.59488802562191e-09
ISY1-RAB43	3.85568290361677	3.11959937882023e-08
CHCHD5	3.85067192702131	2.48990711515518e-06
RDH14	3.84940789412536	8.46540615384583e-09
ZNF775	3.83374940132281	2.37764264419127e-05
