PC1	PC2	TCGA_Batch	sampleName
7.13238226704082	-5.8702050044996	A00Z	TCGA-A8-A08I-01A-11R-A00Z-07
57.0576488954383	26.3797552152636	A14D	TCGA-E9-A1NI-01A-11R-A14D-07
71.0788127542315	44.7225122964876	A13Q	TCGA-BH-A1FG-01A-11R-A13Q-07
35.7161686721929	-32.7976407692796	A115	TCGA-A2-A04N-01A-11R-A115-07
3.9278912972895	-105.581439289785	A12P	TCGA-AR-A1AL-01A-21R-A12P-07
-90.0931531942763	7.73225949455451	A137	TCGA-AR-A1AR-01A-31R-A137-07
35.7261344502825	33.012305157107	A32P	TCGA-S3-A6ZH-01A-22R-A32P-07
20.8013457076297	-58.4727295039574	A169	TCGA-AR-A24T-01A-11R-A169-07
1.73710912120642	-50.2028527085621	A115	TCGA-BH-A0BQ-01A-21R-A115-07
-31.9422045186053	-45.0966129980226	A056	TCGA-BH-A0DK-01A-21R-A056-07
-9.32695799608702	-83.1867110344796	A24H	TCGA-BH-A42V-01A-11R-A24H-07
10.3104642476459	8.02278310884839	A00Z	TCGA-A8-A07I-01A-11R-A00Z-07
11.8586139871658	-84.1676933943479	A266	TCGA-MS-A51U-01A-31R-A266-07
6.96816666391101	-50.9318261990891	A28M	TCGA-OL-A5RU-01A-11R-A28M-07
26.9880969367186	18.4561057185479	A034	TCGA-AN-A046-01A-21R-A034-07
83.9676569742647	66.2133624504134	A034	TCGA-AN-A0FK-01A-11R-A034-07
-119.203859407677	-33.0963893984531	A16F	TCGA-D8-A27M-01A-11R-A16F-07
92.7100748689869	29.5459433778773	A034	TCGA-BH-A0E7-01A-11R-A034-07
70.2562298890308	68.5753102549171	A12D	TCGA-BH-A18L-01A-32R-A12D-07
100.463065320949	21.9281872171284	A213	TCGA-A7-A3IZ-01A-11R-A213-07
14.5761950746949	6.64604001961111	A109	TCGA-A2-A0YH-01A-11R-A109-07
21.4790367809824	-69.396195663627	A10J	TCGA-AN-A0XL-01A-11R-A10J-07
16.8238862748561	52.1376361322903	A115	TCGA-C8-A12T-01A-11R-A115-07
34.4209557777031	-1.17333280062408	A115	TCGA-E2-A15O-01A-11R-A115-07
38.9583787703577	-53.2301669704948	A115	TCGA-E2-A15P-01A-11R-A115-07
55.3122184813672	23.7845797391336	A00Z	TCGA-A8-A0A9-01A-11R-A00Z-07
113.532395194052	143.319190314683	A12D	TCGA-C8-A133-01A-32R-A12D-07
3.30808739135114	-60.6014721715352	A14M	TCGA-D8-A1XM-01A-21R-A14M-07
71.492785211838	59.5590394061575	A034	TCGA-B6-A0IB-01A-11R-A034-07
83.8907657843501	72.4256673504632	A00Z	TCGA-A8-A085-01A-11R-A00Z-07
-1.24568301738109	-94.4430612703883	A169	TCGA-AR-A24W-01A-11R-A169-07
-8.50686828164975	-52.8692809252208	A12P	TCGA-BH-A0DG-01A-21R-A12P-07
10.6028233490184	-65.2585331793553	A24H	TCGA-EW-A3E8-01B-11R-A24H-07
-37.6810619033222	32.7126679680776	A12D	TCGA-E2-A14P-01A-31R-A12D-07
-0.429748584048069	79.9086651558446	A28M	TCGA-OL-A5RZ-01A-11R-A28M-07
6.02554577643194	8.53339413674928	A084	TCGA-AR-A0TQ-01A-11R-A084-07
36.5096582323798	-5.96474890088547	A157	TCGA-AC-A23E-01A-11R-A157-07
64.3681654741326	4.34695730579476	A19W	TCGA-AC-A2FM-01A-11R-A19W-07
-111.496819513556	135.143715590209	A14D	TCGA-E2-A1LK-01A-21R-A14D-07
-1.75280292909908	-65.9152792075565	A12P	TCGA-BH-A0C3-01A-21R-A12P-07
50.615448916673	69.3821055554444	A14D	TCGA-D8-A1XF-01A-11R-A14D-07
61.5659635445532	58.7289634824198	A00Z	TCGA-A8-A06Y-01A-21R-A00Z-07
-17.0158619796606	-66.8145295090683	A13Q	TCGA-BH-A1FE-01A-11R-A13Q-07
-131.100131069556	89.4527872839964	A239	TCGA-A2-A3Y0-01A-11R-A239-07
-21.4506222289042	-41.4184849910745	A056	TCGA-BH-A0HF-01A-11R-A056-07
74.0200638159777	20.0611829517778	A084	TCGA-B6-A0RM-01A-11R-A084-07
8.51030256722979	34.7057817602746	A157	TCGA-E9-A1RB-01A-11R-A157-07
22.2599525086882	-59.3972315887188	A12P	TCGA-BH-A0B5-01A-11R-A12P-07
-107.003843857548	-10.4320859759707	A115	TCGA-C8-A12V-01A-11R-A115-07
-14.950696618688	-104.254049245754	A16F	TCGA-D8-A27I-01A-11R-A16F-07
36.2214071025375	-10.8187410822793	A034	TCGA-BH-A0EB-01A-11R-A034-07
69.6278977772593	-1.77502685601825	A13Q	TCGA-C8-A1HE-01A-11R-A13Q-07
-104.68187303164	59.5118184942262	A144	TCGA-E2-A1II-01A-11R-A144-07
63.089497438921	39.8764955117258	A00Z	TCGA-AN-A03X-01A-21R-A00Z-07
65.5066989160183	15.4523088559505	A14M	TCGA-D8-A1X7-01A-11R-A14M-07
37.5190268389273	2.22333008954187	A12P	TCGA-E2-A15K-01A-11R-A12P-07
85.3679908087729	22.0525643163992	A13Q	TCGA-D8-A1JE-01A-11R-A13Q-07
-99.416996317589	47.0775762678091	A144	TCGA-E9-A1N8-01A-11R-A144-07
16.7130418179174	-27.2937706273623	A12D	TCGA-BH-A0C1-01B-11R-A12D-07
49.085347328423	-3.14092742422351	A14M	TCGA-D8-A1XS-01A-11R-A14M-07
3.23995489934785	32.9606471889814	A144	TCGA-E9-A1N6-01A-11R-A144-07
18.9184436916985	28.2256458392133	A12D	TCGA-BH-A18J-01A-11R-A12D-07
93.8853411334662	41.669942037711	A034	TCGA-A2-A0ET-01A-31R-A034-07
51.0908438453589	-21.4788617270593	A034	TCGA-A8-A0A2-01A-11R-A034-07
18.1332572244911	-37.8684927785076	A084	TCGA-B6-A0RV-01A-11R-A084-07
112.159605578231	124.214360637913	A28M	TCGA-E9-A5UO-01A-11R-A28M-07
20.5040526381514	-50.24350758681	A10J	TCGA-E2-A10F-01A-11R-A10J-07
10.4171871218138	-63.782943051045	A12D	TCGA-E2-A15E-01A-11R-A12D-07
67.4065786874718	18.4763787450432	A115	TCGA-E2-A10A-01A-21R-A115-07
47.7645548996793	70.3014916725943	A084	TCGA-AR-A0TV-01A-21R-A084-07
-127.913239858795	18.2881090569976	A10J	TCGA-AO-A129-01A-21R-A10J-07
-0.45625838505688	-4.00993982852757	A13Q	TCGA-B6-A1KN-01A-11R-A13Q-07
-2.49146266427215	-11.1546886374183	A13Q	TCGA-D8-A1JC-01A-11R-A13Q-07
13.7681716445488	17.9589679349681	A13Q	TCGA-D8-A1J9-01A-11R-A13Q-07
52.7340416400557	-8.00279622472463	A19W	TCGA-E2-A2P6-01A-11R-A19W-07
13.0479057636782	79.196680746471	A115	TCGA-C8-A12Z-01A-11R-A115-07
70.4604224086298	19.5092139856607	A034	TCGA-BH-A0HO-01A-11R-A034-07
65.6768630441098	40.4632745378119	A00Z	TCGA-A8-A082-01A-11R-A00Z-07
27.6967484308068	-70.4014408481187	A13Q	TCGA-E2-A1L6-01A-11R-A13Q-07
17.01846011223	3.80333923390664	A18M	TCGA-GM-A2DL-01A-11R-A18M-07
50.0493271466246	-27.3203790527708	A13Q	TCGA-BH-A1FL-01A-11R-A13Q-07
-70.8409512636024	-12.6351631590575	A32P	TCGA-BH-A6R9-01A-21R-A32P-07
25.0044027732045	-106.73399620085	A22O	TCGA-AC-A3QQ-01B-06R-A22O-07
61.2682449080849	-3.71899057466729	A109	TCGA-A2-A0YF-01A-21R-A109-07
-35.8747623184068	8.71692770155406	A115	TCGA-C8-A135-01A-11R-A115-07
-52.7915744286286	7.86618383916774	A36F	TCGA-C8-A8HP-01A-11R-A36F-07
36.1869789261738	-51.4381837542003	A109	TCGA-BH-A0W4-01A-11R-A109-07
-7.54321001440466	-33.1360866053829	A13Q	TCGA-BH-A1EX-01A-11R-A13Q-07
-39.4729100403942	86.4046840224368	A034	TCGA-AO-A0J2-01A-11R-A034-07
-71.6489457790172	-69.4503506232519	A056	TCGA-AO-A0JC-01A-11R-A056-07
113.677828006078	98.776025526567	A00Z	TCGA-A8-A06N-01A-11R-A00Z-07
16.1482709546587	-16.1088723374098	A13Q	TCGA-BH-A1F2-01A-31R-A13Q-07
-70.1319593529261	93.3846398542109	A13Q	TCGA-B6-A1KF-01A-11R-A13Q-07
40.482333300837	-22.1787149972959	A034	TCGA-A2-A0CU-01A-12R-A034-07
